AgtId,country_entity
825,Somalia
1859,Somalia
1858,Somalia
1857,Somalia
379,Somalia
331,Somalia
1068,Somalia
590,Somalia
359,Somalia
1682,Somalia
317,Somalia
75,Somalia
907,Somalia
216,Somalia
267,Somalia
280,Somalia
567,Somalia
1677,Somalia
1713,Somalia
1678,Somalia
1679,Somalia
1605,Somalia
1606,Somalia
799,Somalia
1680,Somalia
1681,Somalia
744,Somalia
1852,Somalia
1710,Somalia
1709,Somaliland
1806,South Africa
407,South Africa
445,South Africa
186,South Africa
462,South Africa
449,South Africa
348,South Africa
220,South Africa
1272,South Africa
490,South Africa
395,South Africa
2452,South Sudan
2450,South Sudan
2397,South Sudan
2395,South Sudan
2385,South Sudan
2384,South Sudan
2378,South Sudan
2413,South Sudan
2331,South Sudan
2313,South Sudan
2310,South Sudan
2288,South Sudan
2248,South Sudan
2379,South Sudan
2263,South Sudan
